utterance,Utterance Token,RNN Sentiment
can you tell me if i can register more than one profile with a single email?,"['tell', 'regist', 'one', 'profil', 'singl', 'email']",Neutral
"i dont have a user account, what do i have to do to create one?","['dont', 'user', 'account', 'creat', 'one']",Negative
"I don't have a profile, what can I do to create one?","['profil', 'creat', 'one']",Negative
"i need an account, what do i have to do to create one?","['need', 'account', 'creat', 'one']",Negative
can you tell me if i could register several accounts with the same email address?,"['tell', 'could', 'regist', 'sever', 'account', 'email', 'address']",Negative
"I want to create an account, what can I do?","['want', 'creat', 'account']",Negative
"ive got no user account, could i open one?","['ive', 'got', 'user', 'account', 'could', 'open', 'one']",Neutral
tell me if I can register more than one account with the same email,"['tell', 'regist', 'one', 'account', 'email']",Positive
i wanna know if i can register two online accounts with the same email,"['wan', 'na', 'know', 'regist', 'two', 'onlin', 'account', 'email']",Positive
"I have no account, can you register?","['account', 'regist']",Positive
can I register several user accounts with a single email address?,"['regist', 'sever', 'user', 'account', 'singl', 'email', 'address']",Negative
"I haven't got a account, what do I have to do to create one?","['got', 'account', 'creat', 'one']",Neutral
I need a profile and I want tto create  one,"['need', 'profil', 'want', 'tto', 'creat', 'one']",Negative
"I don't have an account, register","['account', 'regist']",Positive
"I want a profile, how do I create one?","['want', 'profil', 'creat', 'one']",Negative
"I haven't got an account, what do I have to do?","['got', 'account']",Positive
"I would like a fucking profile, what should I do?","['would', 'like', 'fuck', 'profil']",Negative
"I want a user account, what should I do to open one?","['want', 'user', 'account', 'open', 'one']",Neutral
tell me if  can register several accounts with the same email address,"['tell', 'regist', 'sever', 'account', 'email', 'address']",Negative
can I create more than one profile with a single email address?,"['creat', 'one', 'profil', 'singl', 'email', 'address']",Neutral
"I have no user account, can I create one?","['user', 'account', 'creat', 'one']",Negative
"I don't have a profile, what can I do?",['profil'],Negative
i wanna know if i can create two profiles with a single email address,"['wan', 'na', 'know', 'creat', 'two', 'profil', 'singl', 'email', 'address']",Negative
tell me if I can register two online accounts with the same email address,"['tell', 'regist', 'two', 'onlin', 'account', 'email', 'address']",Positive
"I want an online account, what do I have to do to open one?","['want', 'onlin', 'account', 'open', 'one']",Neutral
"i wanna open a user account, what do i have to do?","['wan', 'na', 'open', 'user', 'account']",Neutral
"I've got no user account, what do I have to do to create one?","['got', 'user', 'account', 'creat', 'one']",Neutral
can i register more than one account with a single email address ?,"['regist', 'one', 'account', 'singl', 'email', 'address']",Positive
"I want a user account, I need help opening one","['want', 'user', 'account', 'need', 'help', 'open', 'one']",Negative
"i have no user account, can u open one, please?","['user', 'account', 'u', 'open', 'one', 'pleas']",Negative
"I have no profile, can you help me?","['profil', 'help']",Positive
"I haven't got an online account, how do I open one?","['got', 'onlin', 'account', 'open', 'one']",Neutral
i want a account and i wanna create one,"['want', 'account', 'wan', 'na', 'creat', 'one']",Neutral
i want to know if i can create more than one account with the same email,"['want', 'know', 'creat', 'one', 'account', 'email']",Negative
"ive got o online account, what can i do?","['ive', 'got', 'onlin', 'account']",Positive
"I want an account, what should I do to open one?","['want', 'account', 'open', 'one']",Neutral
"I don't have an account, can I create one?","['account', 'creat', 'one']",Negative
could you tell me if I could register more than one online account with the same email?,"['could', 'tell', 'could', 'regist', 'one', 'onlin', 'account', 'email']",Positive
"I've got no fucking account, what can I do to register?","['got', 'fuck', 'account', 'regist']",Positive
I have no online account and I want to open one,"['onlin', 'account', 'want', 'open', 'one']",Neutral
"please, could you tell me if I can create several fucking user accounts with the same email address?","['pleas', 'could', 'tell', 'creat', 'sever', 'fuck', 'user', 'account', 'email', 'address']",Neutral
I want to know if I could create two fucking user accounts with a single email address,"['want', 'know', 'could', 'creat', 'two', 'fuck', 'user', 'account', 'singl', 'email', 'address']",Neutral
"I haven't got an online account, I need help registering","['got', 'onlin', 'account', 'need', 'help', 'regist']",Positive
how to register,['regist'],Positive
"please, could you tell me if i could register more than one account with a single email?","['pleas', 'could', 'tell', 'could', 'regist', 'one', 'account', 'singl', 'email']",Negative
I don't hace an account and I want to register,"['hace', 'account', 'want', 'regist']",Neutral
tell me if I can create more than one online account with the same email address,"['tell', 'creat', 'one', 'onlin', 'account', 'email', 'address']",Positive
tell me if I can register two user accounts with a single email address,"['tell', 'regist', 'two', 'user', 'account', 'singl', 'email', 'address']",Neutral
"i wanna know if i could create several online accounts with the same email address, please","['wan', 'na', 'know', 'could', 'creat', 'sever', 'onlin', 'account', 'email', 'address', 'pleas']",Positive
"I need an account, how can I create one?","['need', 'account', 'creat', 'one']",Negative
can I register two online accounts with the same email?,"['regist', 'two', 'onlin', 'account', 'email']",Positive
I want to know if I can create several online accounts with a single email address,"['want', 'know', 'creat', 'sever', 'onlin', 'account', 'singl', 'email', 'address']",Positive
"I've got no user account, how can I open one?","['got', 'user', 'account', 'open', 'one']",Neutral
"I need a profile, what should I do to create one?","['need', 'profil', 'creat', 'one']",Negative
"I want an online account, how can I create one?","['want', 'onlin', 'account', 'creat', 'one']",Neutral
ask an agent to open a user account,"['ask', 'agent', 'open', 'user', 'account']",Neutral
I want to know if I can register two user accounts with the same email address,"['want', 'know', 'regist', 'two', 'user', 'account', 'email', 'address']",Neutral
I want to know if I can create two user accounts with the same email address,"['want', 'know', 'creat', 'two', 'user', 'account', 'email', 'address']",Neutral
can I register more than one user account with the same email?,"['regist', 'one', 'user', 'account', 'email']",Positive
"i need an online account, what do i have to do to open one?","['need', 'onlin', 'account', 'open', 'one']",Neutral
I have no user account,"['user', 'account']",Positive
I've got no online account and I want to open one,"['got', 'onlin', 'account', 'want', 'open', 'one']",Neutral
I want a profile,"['want', 'profil']",Neutral
"I have no online account, what van I do?","['onlin', 'account', 'van']",Positive
"I've got no user account, can you register?","['got', 'user', 'account', 'regist']",Positive
can I create two accounts with a single email address?,"['creat', 'two', 'account', 'singl', 'email', 'address']",Negative
"I have no user account, what do I have to do?","['user', 'account']",Positive
"I've got no account, what can I do to open one?","['got', 'account', 'open', 'one']",Neutral
"I haven't got an account, what can I do?","['got', 'account']",Positive
"I need a user account, help me open one","['need', 'user', 'account', 'help', 'open', 'one']",Negative
"I have no fucking account, how do I create one?","['fuck', 'account', 'creat', 'one']",Negative
I want to know if I can register several accounts with a single email address,"['want', 'know', 'regist', 'sever', 'account', 'singl', 'email', 'address']",Neutral
can i create two user accounts with the same email address?,"['creat', 'two', 'user', 'account', 'email', 'address']",Negative
"I have no user account, how do I create one?","['user', 'account', 'creat', 'one']",Negative
can I own several profiles?,"['sever', 'profil']",Positive
"i wannaopen an account, what can i do?","['wannaopen', 'account']",Positive
"I want to create a online accountg, can you help me?","['want', 'creat', 'onlin', 'accountg', 'help']",Negative
I want to know  if I can create two user accounts with the same email,"['want', 'know', 'creat', 'two', 'user', 'account', 'email']",Negative
"I've got no online account, what can I do to create one?","['got', 'onlin', 'account', 'creat', 'one']",Positive
"please, could u ask an agent where i can register?","['pleas', 'could', 'u', 'ask', 'agent', 'regist']",Positive
can I create more than one profile with the same email address?,"['creat', 'one', 'profil', 'email', 'address']",Neutral
I want an online account,"['want', 'onlin', 'account']",Positive
where can I create a user account?,"['creat', 'user', 'account']",Positive
i wanna create an online account,"['wan', 'na', 'creat', 'onlin', 'account']",Positive
"I've got no online account, can you open one?","['got', 'onlin', 'account', 'open', 'one']",Neutral
"i dont have an user account,  what should i do to create one?","['dont', 'user', 'account', 'creat', 'one']",Negative
can you tell me if i can create more than one account with a single email?,"['tell', 'creat', 'one', 'account', 'singl', 'email']",Neutral
tell me if I  can register more than one profile with a single email address,"['tell', 'regist', 'one', 'profil', 'singl', 'email', 'address']",Neutral
can you tell me if I can register more than one user account with the same email?,"['tell', 'regist', 'one', 'user', 'account', 'email']",Positive
can I create more than one online account with a single email?,"['creat', 'one', 'onlin', 'account', 'singl', 'email']",Positive
"I haven't got a profile, what do I have to do to create one?","['got', 'profil', 'creat', 'one']",Neutral
"i wanna know if i could register two fucking online accounts with a single email , please","['wan', 'na', 'know', 'could', 'regist', 'two', 'fuck', 'onlin', 'account', 'singl', 'email', 'pleas']",Positive
"I want an online zccount, how can I open one?","['want', 'onlin', 'zccount', 'open', 'one']",Negative
"I have no account, I need help creating one","['account', 'need', 'help', 'creat', 'one']",Negative
