Preprocessed Review Text,Review Token,True Sentiment,FCNN Sentiment,RNN Sentiment
beauti dress return reason other note chest fit well,"['beauti', 'dress', 'return', 'reason', 'other', 'note', 'chest', 'fit', 'well']",Negative,Negative,Negative
absolut love shirt simpl tee open back add cute detail order small fit perfectli color beauti also,"['absolut', 'love', 'shirt', 'simpl', 'tee', 'open', 'back', 'add', 'cute', 'detail', 'order', 'small', 'fit', 'perfectli', 'color', 'beauti', 'also']",Positive,Positive,Positive
realli like dressshirt great layer super cute hide tradit holiday year pregnanc weight gain think cute leg back panel dress seem vari base size may sound weird tri abil reach forward chang two size return hope order slightli roomier back,"['realli', 'like', 'dressshirt', 'great', 'layer', 'super', 'cute', 'hide', 'tradit', 'holiday', 'year', 'pregnanc', 'weight', 'gain', 'think', 'cute', 'leg', 'back', 'panel', 'dress', 'seem', 'vari', 'base', 'size', 'may', 'sound', 'weird', 'tri', 'abil', 'reach', 'forward', 'chang', 'two', 'size', 'return', 'hope', 'order', 'slightli', 'roomier', 'back']",Negative,Negative,Negative
order size medium usual take medium retail coat wool wonder howev strip band sewn fabric add weight coat odd shape line straight medium larg bottom edg coat line button insid hook button help even bottom edg sadli coat return,"['order', 'size', 'medium', 'usual', 'take', 'medium', 'retail', 'coat', 'wool', 'wonder', 'howev', 'strip', 'band', 'sewn', 'fabric', 'add', 'weight', 'coat', 'odd', 'shape', 'line', 'straight', 'medium', 'larg', 'bottom', 'edg', 'coat', 'line', 'button', 'insid', 'hook', 'button', 'help', 'even', 'bottom', 'edg', 'sadli', 'coat', 'return']",Negative,Negative,Negative
gener spend much jean want nice black pair roll dice sale wear averag size struggl get size hip button zip look like stuf black sausag best thin frame even size,"['gener', 'spend', 'much', 'jean', 'want', 'nice', 'black', 'pair', 'roll', 'dice', 'sale', 'wear', 'averag', 'size', 'struggl', 'get', 'size', 'hip', 'button', 'zip', 'look', 'like', 'stuf', 'black', 'sausag', 'best', 'thin', 'frame', 'even', 'size']",Negative,Negative,Negative
order dress small usual size refer lb wide look fit pictur hang loos belt help much still look like sack feel like girl wear mom dress also found materi crumpl easili,"['order', 'dress', 'small', 'usual', 'size', 'refer', 'lb', 'wide', 'look', 'fit', 'pictur', 'hang', 'loos', 'belt', 'help', 'much', 'still', 'look', 'like', 'sack', 'feel', 'like', 'girl', 'wear', 'mom', 'dress', 'also', 'found', 'materi', 'crumpl', 'easili']",Neutral,Neutral,Neutral
sweater gorgeou color beauti piec soft think bit shorter would prefer tend wear petit sweater nice enough mind,"['sweater', 'gorgeou', 'color', 'beauti', 'piec', 'soft', 'think', 'bit', 'shorter', 'would', 'prefer', 'tend', 'wear', 'petit', 'sweater', 'nice', 'enough', 'mind']",Positive,Positive,Positive
love way top look stock photo color bright cheeri great transit piec way sleev cut almost make feel like water wing make sens stiff wide awkward worn time hope mayb sleev would relax mayb look okay blazer offic someth,"['love', 'way', 'top', 'look', 'stock', 'photo', 'color', 'bright', 'cheeri', 'great', 'transit', 'piec', 'way', 'sleev', 'cut', 'almost', 'make', 'feel', 'like', 'water', 'wing', 'make', 'sens', 'stiff', 'wide', 'awkward', 'worn', 'time', 'hope', 'mayb', 'sleev', 'would', 'relax', 'mayb', 'look', 'okay', 'blazer', 'offic', 'someth']",Neutral,Neutral,Neutral
crazi top look great onlin person bore lifeless top,"['crazi', 'top', 'look', 'great', 'onlin', 'person', 'bore', 'lifeless', 'top']",Negative,Negative,Negative
usual wear skirt dress got mail end fit bit snug hip super cute great liner underneath,"['usual', 'wear', 'skirt', 'dress', 'got', 'mail', 'end', 'fit', 'bit', 'snug', 'hip', 'super', 'cute', 'great', 'liner', 'underneath']",Positive,Positive,Positive
skirt person like pictur baggi run larg wear jean size xs two size loos pocket surpris denim slit front make skirt look even loos shape near pictur petit size go return,"['skirt', 'person', 'like', 'pictur', 'baggi', 'run', 'larg', 'wear', 'jean', 'size', 'xs', 'two', 'size', 'loos', 'pocket', 'surpris', 'denim', 'slit', 'front', 'make', 'skirt', 'look', 'even', 'loos', 'shape', 'near', 'pictur', 'petit', 'size', 'go', 'return']",Neutral,Neutral,Neutral
grab typic size found fit snug bust fabric plenti stretch snug fine especi meant gape along necklin front lowcut feel particularli expos end buy think fit bodi right distanc top shoulder bottom arm hole long signific portion bra expos bottom arm hole,"['grab', 'typic', 'size', 'found', 'fit', 'snug', 'bust', 'fabric', 'plenti', 'stretch', 'snug', 'fine', 'especi', 'meant', 'gape', 'along', 'necklin', 'front', 'lowcut', 'feel', 'particularli', 'expos', 'end', 'buy', 'think', 'fit', 'bodi', 'right', 'distanc', 'top', 'shoulder', 'bottom', 'arm', 'hole', 'long', 'signific', 'portion', 'bra', 'expos', 'bottom', 'arm', 'hole']",Negative,Negative,Negative
love shirt got whiteyellow one pair dark jean booti readi anyth hourglass type figur sometim flowi shirt hidden shirt somehow subtli emphas attract way,"['love', 'shirt', 'got', 'whiteyellow', 'one', 'pair', 'dark', 'jean', 'booti', 'readi', 'anyth', 'hourglass', 'type', 'figur', 'sometim', 'flowi', 'shirt', 'hidden', 'shirt', 'somehow', 'subtli', 'emphas', 'attract', 'way']",Positive,Positive,Positive
great color soft fabric waaaaay long like night shirt tshirt,"['great', 'color', 'soft', 'fabric', 'waaaaay', 'long', 'like', 'night', 'shirt', 'tshirt']",Negative,Negative,Negative
shirt fantast lightweight sleev summer wear go back forth xs small broad shoulder order one like shirt give xs fine variat size give two shirt differ look color fantast true photo alway case onlin purchas love,"['shirt', 'fantast', 'lightweight', 'sleev', 'summer', 'wear', 'go', 'back', 'forth', 'xs', 'small', 'broad', 'shoulder', 'order', 'one', 'like', 'shirt', 'give', 'xs', 'fine', 'variat', 'size', 'give', 'two', 'shirt', 'differ', 'look', 'color', 'fantast', 'true', 'photo', 'alway', 'case', 'onlin', 'purchas', 'love']",Positive,Positive,Positive
order top navi white irregular dot sinc avail smaller size store took chanc order xs size fit perfect love scallop edg small side slit crochet detail top great addit florida wardrob,"['order', 'top', 'navi', 'white', 'irregular', 'dot', 'sinc', 'avail', 'smaller', 'size', 'store', 'took', 'chanc', 'order', 'xs', 'size', 'fit', 'perfect', 'love', 'scallop', 'edg', 'small', 'side', 'slit', 'crochet', 'detail', 'top', 'great', 'addit', 'florida', 'wardrob']",Positive,Positive,Positive
love pattern adn color combo wow realli flater much fabric felt like tri hide wight gain pregnanc wear mumu anyway other might toll wnat tri case decent regulat size though long wide,"['love', 'pattern', 'adn', 'color', 'combo', 'wow', 'realli', 'flater', 'much', 'fabric', 'felt', 'like', 'tri', 'hide', 'wight', 'gain', 'pregnanc', 'wear', 'mumu', 'anyway', 'other', 'might', 'toll', 'wnat', 'tri', 'case', 'decent', 'regulat', 'size', 'though', 'long', 'wide']",Negative,Negative,Negative
love sweater bought wore coupl time wash accord tag shrunk least two size tassel got tangl guess seen come pretti bum sweater look beauti,"['love', 'sweater', 'bought', 'wore', 'coupl', 'time', 'wash', 'accord', 'tag', 'shrunk', 'least', 'two', 'size', 'tassel', 'got', 'tangl', 'guess', 'seen', 'come', 'pretti', 'bum', 'sweater', 'look', 'beauti']",Neutral,Neutral,Positive
disappoint pant look beauti onlin even pocket person pattern color nice fabric thin pant look cheap pocket pretti shallow fit good either order size still flowi like prici loung pant fenc go back buy know thin fabric snug fit might wo,"['disappoint', 'pant', 'look', 'beauti', 'onlin', 'even', 'pocket', 'person', 'pattern', 'color', 'nice', 'fabric', 'thin', 'pant', 'look', 'cheap', 'pocket', 'pretti', 'shallow', 'fit', 'good', 'either', 'order', 'size', 'still', 'flowi', 'like', 'prici', 'loung', 'pant', 'fenc', 'go', 'back', 'buy', 'know', 'thin', 'fabric', 'snug', 'fit', 'might', 'wo']",Negative,Negative,Negative
order look like would run big definit fit comfort cut dress made look lb heavier pearshap dress made look bottom heavi return said materi gorgeou perfect weight color much strike complementari person straight er silhouett larger bust dress would,"['order', 'look', 'like', 'would', 'run', 'big', 'definit', 'fit', 'comfort', 'cut', 'dress', 'made', 'look', 'lb', 'heavier', 'pearshap', 'dress', 'made', 'look', 'bottom', 'heavi', 'return', 'said', 'materi', 'gorgeou', 'perfect', 'weight', 'color', 'much', 'strike', 'complementari', 'person', 'straight', 'er', 'silhouett', 'larger', 'bust', 'dress', 'would']",Negative,Positive,Neutral
got sever compliment dress first time wore know work well offic church even holiday parti two right line petit regular size could gone wa petit probabl medium size instead dress touch long deeper necklin frame otherwis fit well color great even quit photo overal satisfi purchas,"['got', 'sever', 'compliment', 'dress', 'first', 'time', 'wore', 'know', 'work', 'well', 'offic', 'church', 'even', 'holiday', 'parti', 'two', 'right', 'line', 'petit', 'regular', 'size', 'could', 'gone', 'wa', 'petit', 'probabl', 'medium', 'size', 'instead', 'dress', 'touch', 'long', 'deeper', 'necklin', 'frame', 'otherwis', 'fit', 'well', 'color', 'great', 'even', 'quit', 'photo', 'overal', 'satisfi', 'purchas']",Positive,Positive,Positive
unfortun size twice pant great feel soft grey soft color,"['unfortun', 'size', 'twice', 'pant', 'great', 'feel', 'soft', 'grey', 'soft', 'color']",Neutral,Neutral,Neutral
right bag top realli match one pictur right top though fabric heavi felt damp way someth feel come odd fit noth like shown model v fit nice wrap even tack place two loos droopi piec bra show matter mani time put piec back belong neither flat chest busti,"['right', 'bag', 'top', 'realli', 'match', 'one', 'pictur', 'right', 'top', 'though', 'fabric', 'heavi', 'felt', 'damp', 'way', 'someth', 'feel', 'come', 'odd', 'fit', 'noth', 'like', 'shown', 'model', 'v', 'fit', 'nice', 'wrap', 'even', 'tack', 'place', 'two', 'loos', 'droopi', 'piec', 'bra', 'show', 'matter', 'mani', 'time', 'put', 'piec', 'back', 'belong', 'neither', 'flat', 'chest', 'busti']",Negative,Negative,Positive
excit receiv coat annual travel switzerland hesit order onlin without see first due price arriv last night button fall larg hole front pocket line insid cheap plasticki feel also see small rip possibl form line addit collar coat extrem bulki shoulder pad underneath fur make one shoulder appear like lineba,"['excit', 'receiv', 'coat', 'annual', 'travel', 'switzerland', 'hesit', 'order', 'onlin', 'without', 'see', 'first', 'due', 'price', 'arriv', 'last', 'night', 'button', 'fall', 'larg', 'hole', 'front', 'pocket', 'line', 'insid', 'cheap', 'plasticki', 'feel', 'also', 'see', 'small', 'rip', 'possibl', 'form', 'line', 'addit', 'collar', 'coat', 'extrem', 'bulki', 'shoulder', 'pad', 'underneath', 'fur', 'make', 'one', 'shoulder', 'appear', 'like', 'lineba']",Negative,Negative,Negative
dress pretti photo person huge way could adjust size shoulder arm fit bodi dress absolut huge normal love trapez dress swim quit unflatt also much longer look model short fact dress normal bit shorter averag person frumpi,"['dress', 'pretti', 'photo', 'person', 'huge', 'way', 'could', 'adjust', 'size', 'shoulder', 'arm', 'fit', 'bodi', 'dress', 'absolut', 'huge', 'normal', 'love', 'trapez', 'dress', 'swim', 'quit', 'unflatt', 'also', 'much', 'longer', 'look', 'model', 'short', 'fact', 'dress', 'normal', 'bit', 'shorter', 'averag', 'person', 'frumpi']",Neutral,Neutral,Neutral
tri medium store big overal thought nice concept feminin whimsic top order small onlin even small still big usual wear medium top mayb slimmer ribswaist area could work end look maternityish volumin everywher bust front short well stop higher shown model assum sh,"['tri', 'medium', 'store', 'big', 'overal', 'thought', 'nice', 'concept', 'feminin', 'whimsic', 'top', 'order', 'small', 'onlin', 'even', 'small', 'still', 'big', 'usual', 'wear', 'medium', 'top', 'mayb', 'slimmer', 'ribswaist', 'area', 'could', 'work', 'end', 'look', 'maternityish', 'volumin', 'everywher', 'bust', 'front', 'short', 'well', 'stop', 'higher', 'shown', 'model', 'assum', 'sh']",Negative,Negative,Negative
butth problem get color stay shoulder larg appeal top shoulder lookbut tri would pop shoulder make cowl neck kind top lay right would stay would real win like qualiti fabric long sleev ca get desir look work go back,"['butth', 'problem', 'get', 'color', 'stay', 'shoulder', 'larg', 'appeal', 'top', 'shoulder', 'lookbut', 'tri', 'would', 'pop', 'shoulder', 'make', 'cowl', 'neck', 'kind', 'top', 'lay', 'right', 'would', 'stay', 'would', 'real', 'win', 'like', 'qualiti', 'fabric', 'long', 'sleev', 'ca', 'get', 'desir', 'look', 'work', 'go', 'back']",Neutral,Neutral,Neutral
pictur make look like rich brown yellow orang color came black orang pop much differ expect materi nice silki will keep someth dri clean sent back,"['pictur', 'make', 'look', 'like', 'rich', 'brown', 'yellow', 'orang', 'color', 'came', 'black', 'orang', 'pop', 'much', 'differ', 'expect', 'materi', 'nice', 'silki', 'will', 'keep', 'someth', 'dri', 'clean', 'sent', 'back']",Neutral,Neutral,Neutral
