Review Token,True Rating,RNN Rating
"['tri', 'shirt', 'purpl', 'motif', 'fit', 'true', 'size', 'normal', 'small', 'work', 'well', 'good', 'front', 'turn', 'around', 'admir', 'slight', 'detail', 'necklin', 'back', 'could', 'see', 'red', 'thread', 'design', 'use', 'sew', 'tag', 'realli', 'white', 'shirt', 'annoy', 'much', 'buy', 'shirt']",2,2
"['one', 'dress', 'nice', 'one', 'go', 'pinch', 'flow', 'nice', 'dress', 'best', 'qualiti', 'fabric', 'silk', 'would', 'paid', 'like', 'fit', 'well', 'outstand', 'unusu', 'think', 'bit', 'pricey', 'get', 'work', 'hors', 'dress', 'right', 'whenev', 'need']",3,3
"['love', 'blous', 'howev', 'upon', 'everi', 'time', 'wear', 'new', 'button', 'pop', 'replac', 'everi', 'button']",3,3
"['receiv', 'dress', 'wad', 'bag', 'noth', 'like', 'color', 'shown', 'line', 'pictur', 'appear', 'blue', 'white', 'actual', 'teal', 'funki', 'color', 'beigey', 'pink', 'top', 'see', 'though', 'see', 'slip', 'skirt', 'send', 'back', 'remind', 'tri', 'buy', 'dress', 'line']",1,1
"['one', 'favorit', 'dress', 'retail', 'floral', 'print', 'caught', 'eye', 'first', 'sight', 'desper', 'look', 'pale', 'pictur', 'realiti', 'brighter', 'imagin', 'would', 'along', 'soft', 'floral', 'pretti', 'color', 'like', 'design', 'skirt', 'compar', 'front', 'length', 'longer', 'back', 'fring', 'nice', 'look', 'eleg', 'walk', 'last', 'thing', 'like', 'point', 'textil', 'quit', 'easi', 'fold', 'appr']",5,5
"['ador', 'top', 'comfi', 'stylish', 'wear', 'littl', 'purpl', 'cardigan', 'feel', 'like', 'iri', 'bloom', 'like', 'review', 'mention', 'though', 'strap', 'way', 'long', 'cut', 'resew', 'make', 'wearabl', 'slouch', 'front', 'look', 'sloppi', 'aw', 'tri', 'layer', 'look', 'absurd']",4,4
"['purchas', 'lot', 'retail', 'late', 'item', 'disappoint', 'cost', 'one', 'pictur', 'nice', 'actual', 'blous', 'noth', 'like', 'size', 'accur', 'buy', 'size', 'bigger', 'sleev']",1,1
"['high', 'hope', 'sweater', 'found', 'sale', 'onlin', 'jump', 'opportun', 'slender', 'alway', 'wear', 'small', 'retail', 'top', 'purchas', 'mint', 'size', 'small', 'soon', 'open', 'bag', 'doubt', 'fabric', 'terribl', 'thin', 'scratchi', 'soft', 'suppl', 'imagin', 'mint', 'color', 'look', 'fade', 'shape', 'aw', 'length', 'arm', 'hit', 'bizarr', 'spot', 'overal', 'length', 'sweater', 'cut', 'torso']",1,1
"['top', 'gorgeou', 'beauti', 'made', 'howev', 'fit', 'leav', 'lot', 'desir', 'part', 'strap', 'pucker', 'lay', 'flat', 'skin', 'tri', 'make', 'work', 'could', 'go', 'back']",2,2
"['think', 'pull', 'mean', 'tri', 'fabric', 'excel', 'qualitythick', 'yet', 'soft', 'floral', 'print', 'love', 'unlik', 'lot', 'print', 'season', 'exactli', 'short', 'wide', 'made', 'look', 'like', 'houseboat', 'bad', 'interest', 'cut', 'order', 'sinc', 'sometim', 'wear', 'xs', 'bottom', 'still', 'volumin']",4,4
"['ador', 'frustrat', 'skirt', 'larg', 'person', 'order', 'normal', 'size', 'small', 'pull', 'skirt', 'waist', 'open', 'could', 'accommod', 'either', 'shoulder', 'hip', 'retail', 'cloth', 'either', 'size', 'agre', 'review', 'way', 'put', 'item']",1,1
"['excit', 'coat', 'saw', 'catalog', 'disappoint', 'got', 'store', 'faux', 'fur', 'pictur', 'catalog', 'look', 'much', 'burnt', 'red', 'brown', 'color', 'straight', 'maroon', 'actual', 'store', 'say', 'even', 'look', 'bit', 'purpl', 'nice', 'thing', 'detach', 'replac', 'someth', 'els', 'realli', 'like', 'color', 'decid', 'buy', 'anyway', 'fit', 'coat', 'love', 'simpli', 'stun']",3,3
"['dress', 'beauti', 'pictur', 'model', 'much', 'normal', 'size', 'bra', 'size', 'order', 'dress', 'xs', 'big', 'boxi', 'also', 'thought', 'materi', 'go', 'thicker', 'thin', 'seem', 'fall', 'right', 'bodi', 'beauti', 'design', 'right', 'materi', 'fit']",3,3
"['petit', 'short', 'fit', 'right', 'place', 'leg', 'inch', 'long', 'still', 'decid', 'whether', 'return', 'hem', 'hem', 'would', 'profession', 'done', 'materi', 'bummer']",4,4
"['mayb', 'size', 'xl', 'sure', 'smaller', 'size', 'would', 'solv', 'weird', 'fit', 'vee', 'quit', 'low', 'busti', 'realli', 'low', 'smaller', 'top', 'fit', 'back', 'front', 'tie', 'look', 'horribl', 'tight', 'almost', 'balloon', 'like', 'around', 'hem', 'side', 'view', 'look', 'like', 'realli', 'wide', 'green', 'appl', 'hate', 'leav', 'bad', 'review', 'know', 'someon', 'may', 'love', 'would', 'recommend']",2,2
"['shirt', 'absolut', 'shape', 'look', 'care', 'model', 'discov', 'cleverli', 'posit', 'hide', 'sheer', 'boxy', 'shirt', 'print', 'beauti', 'look', 'like', 'matern', 'shirt', 'even', 'order', 'xs', 'lb', 'found', 'baggi', 'return']",1,1
"['love', 'way', 'pant', 'feel', 'comfort', 'breezi', 'love', 'feel', 'cool', 'summer', 'without', 'show', 'lot', 'skin', 'purchas', 'color', 'nice', 'look', 'said', 'sure', 'keep', 'wrinkl', 'someth', 'terribl', 'pretti', 'casual', 'person', 'even', 'bother', 'probabl', 'would', 'bad', 'pleat', 'front', 'sit', 'minut', 'pant', 'look', 'like', 'disast', 'front', 'husband', 'said', 'ext']",4,5
"['like', 'dress', 'look', 'pregnant', 'dress', 'go', 'back']",1,1
"['order', 'shirt', 'onlin', 'without', 'see', 'person', 'great', 'true', 'size', 'slightli', 'loos', 'fit', 'thick', 'cottonymateri', 'pretti', 'design', 'could', 'nice', 'spring', 'summer', 'even', 'fall', 'cardigan']",5,5
"['color', 'pictur', 'good', 'qualiti', 'line', 'zipper', 'back', 'make', 'look', 'updat', 'order', 'usual', 'size', 'small', 'petit', 'size', 'fit', 'perfectli', 'feet', 'lb', 'hourglass', 'figur', 'high', 'hope', 'hip', 'short', 'heavi', 'leg', 'skirt', 'emphas', 'flaw', 'got', 'great', 'leg', 'well', 'short', 'skirt', 'fact', 'less', 'tailor', 'look', 'make', 'better', 'suit', 'younger', 'gal', 'fenc', 'give', 'tri']",2,2
"['love', 'design', 'onlin', 'sweater', 'bulki', 'boxi', 'chosen', 'cream', 'blue', 'look', 'back', 'pictur', 'beigecream', 'repres', 'better', 'made', 'look', 'wide', 'love', 'onlin', 'return']",2,2
"['open', 'got', 'yesterday', 'immedi', 'tri', 'knee', 'total', 'stretch', 'due', 'panel', 'knee', 'look', 'like', 'growth', 'pop', 'leg', 'knee', 'someon', 'receiv', 'sent', 'back', 'tri', 'wore', 'return', 'obvious', 'small', 'whoever', 'never', 'resent', 'anoth', 'custom', 'obvious', 'misshapen', 'go', 'back', 'bet']",1,1
"['around', 'pretti', 'feminin', 'take', 'white', 'shirt', 'cute', 'dot', 'pattern', 'add', 'drama', 'without', 'overboard', 'fit', 'top', 'fairli', 'gener', 'least', 'lot', 'stretch', 'could', 'probabl', 'either', 'xs', 'took', 'xs', 'get', 'silhouett']",4,4
"['eye', 'skier', 'blous', 'awhil', 'gave', 'purchas', 'love', 'fit', 'graphic', 'happi', 'littl', 'skier', 'think', 'mani', 'review', 'realiz', 'blous', 'cut', 'swing', 'style', 'meant', 'tailor', 'tuck', 'want', 'tuck', 'wear', 'highwaist', 'skirt', 'pant', 'cute', 'also', 'rayon', 'fabric', 'good', 'choic', 'style', 'heavier', 'cotton', 'better', 'drape', 'chest', 'slope', 'longer', 'hemlin', 'toward']",5,5
"['order', 'dress', 'blue', 'color', 'love', 'person', 'petit', 'seem', 'run', 'smaller', 'petit', 'dress', 'buy', 'retail', 'order', 'tight', 'bust', 'imagin', 'would', 'perfect']",4,4
"['even', 'deep', 'discount', 'piec', 'definit', 'worth', 'money', 'pictur', 'made', 'think', 'jacket', 'longer', 'curv', 'velvet', 'hem', 'part', 'design', 'would', 'coolwhich', 'larg', 'attract', 'discov', 'arriv', 'actual', 'part', 'shirt', 'worn', 'beneath', 'photo', 'imag', 'rather', 'mislead', 'actual', 'jacket', 'thinmor', 'like', 'shirt', 'open', 'front', 'jacket', 'pocket', 'loos', 'tack', 'insid']",1,1
"['love', 'top', 'normal', 'order', 'petit', 'abl', 'offer', 'petit', 'size', 'took', 'chanc', 'order', 'regular', 'got', 'mail', 'pull', 'thought', 'wow', 'petit', 'run', 'small', 'got', 'xs', 'size', 'tight', 'arm', 'peplum', 'bottom', 'came', 'bit', 'high', 'felt', 'slightli', 'maternityish', 'way', 'bottom', 'part', 'flare', 'actual', 'thought', 'bit', 'short', 'even', 'lb']",4,4
"['cute', 'top', 'much', 'potenti', 'soft', 'fabric', 'vibrant', 'color', 'flatter', 'fit', 'top', 'howev', 'like', 'mani', 'retail', 'swing', 'top', 'late', 'ton', 'fabric', 'bottom', 'make', 'billow', 'unflatt', 'way', 'order', 'xxsp', 'ca', 'even', 'go', 'size', 'top', 'regrett', 'go', 'back', 'love', 'swing', 'top', 'retail', 'could', 'pleas', 'top', 'doubl', 'matern', 'top']",3,3
"['cutest', 'thing', 'sinc', 'well', 'know', 'pretti', 'cute', 'ye', 'agre', 'review', 'said', 'look', 'better', 'hand', 'web', 'cute', 'soft', 'ruffl', 'hip', 'stripe', 'soft', 'pastel', 'button', 'nape', 'neck', 'sweet', 'wordsweetthat', 'perfect', 'descript', 'quirki', 'laid', 'back', 'feminin', 'piec', 'ttsnoth', 'weird', 'uncomfort', 'fit', 'seem', 'bit', 'shorter', 'pictur', 'show', 'lb']",5,5
"['love', 'dress', 'moment', 'saw', 'onlin', 'sale', 'order', 'green', 'wish', 'flesh', 'color', 'littl', 'pink', 'love', 'color', 'person', 'flatter', 'pale', 'skin', 'order', 'differ', 'similar', 'dress', 'teal', 'purpl', 'oclor', 'better', 'fit', 'like', 'glove', 'dd', 'waist', 'lb', 'short', 'length', 'sexi', 'overal', 'great', 'flatter', 'fit', 'similarli', 'dress', 'want', 'length', 'one', 'howev', 'nice', 'slightli', 'th']",4,4
"['dress', 'look', 'ador', 'onlin', 'unfortun', 'flatter', 'complet', 'seethrough', 'complet', 'materi', 'thin', 'ca', 'imagin', 'would', 'hold', 'well', 'time', 'one', 'definit', 'go', 'back']",1,1
"['pictur', 'blous', 'simpli', 'justic', 'floral', 'detail', 'gorgeou', 'like', 'order', 'love', 'curvyathlet', 'frame', 'order', 'size', 'fit', 'perfectli']",5,5
"['saw', 'top', 'onlin', 'thought', 'love', 'immedi', 'order', 'color', 'arriv', 'today', 'soooo', 'disappoint', 'never', 'seen', 'drab', 'color', 'blue', 'muddi', 'grayish', 'hue', 'like', 'overcast', 'day', 'pink', 'dusti', 'shade', 'peach', 'yuck', 'hope', 'ruffl', 'bottom', 'would', 'chiffonlik', 'flowi', 'effect', 'instead', 'ruffl', 'made', 'cheap', 'look', 'knit', 'back', 'go']",1,1
"['receiv', 'dress', 'mail', 'today', 'order', 'xs', 'huge', 'way', 'could', 'wear', 'bra', 'without', 'show', 'due', 'size', 'arm', 'hole', 'lb', 'athlet', 'build', 'refer', 'love', 'free', 'flow', 'dress', 'top', 'order', 'plaid', 'version', 'xs', 'petit', 'fit', 'much', 'truer', 'size', 'reorder', 'xs', 'petit', 'see', 'work', 'better', 'dress', 'love', 'green', 'color', 'vibrant', 'embroid']",3,3
"['complet', 'overs', 'top', 'size', 'medium', 'swim', 'boxi', 'baggi', 'shapeless', 'say', 'even', 'xs', 'would', 'fit', 'way', 'like', 'photo', 'return']",1,1
"['way', 'overs', 'sever', 'pair', 'pilcro', 'jean', 'run', 'way', 'larg', 'wast', 'money', 'ship', 'wo']",1,1
"['one', 'need', 'one', 'everi', 'color', 'kind', 'shirt', 'need', 'simpli', 'want', 'well', 'construct', 'fabric', 'perfect', 'weight', 'sooooooo', 'comfort', 'raspberri', 'littl', 'dusti', 'rose', 'pictur', 'onlin', 'work', 'shirt', 'coupl', 'day', 'addit', 'want', 'wear', 'everi', 'day', 'fabric', 'pill', 'shortwaist', 'issu', 'highlow', 'hem', 'crop', 'length']",5,5
"['great', 'print', 'materi', 'top', 'run', 'larg', 'usual', 'wear', 'l', 'line', 'retail', 'carri', 'big', 'reorder', 'medium']",4,4
"['ador', 'lot', 'compliment', 'color', 'great', 'fit']",5,5
"['desper', 'swim', 'cover', 'cover', 'arm', 'back', 'one', 'fit', 'nicelyjust', 'pretti', 'feminin', 'happi', 'summer', 'top', 'still', 'let', 'leggi', 'ca', 'see', 'photo', 'embroideri', 'detail', 'upper', 'part', 'top', 'littl', 'mirror', 'sewn', 'among', 'dot', 'fun', 'pair', 'jean', 'short', 'everyth', 'crotch', 'visibleso', 'perhap', 'slightli', 'shorter', 'appear', 'pic']",5,5
"['jumpsuit', 'great', 'recent', 'babi', 'still', 'tri', 'get', 'last', 'lb', 'babi', 'weight', 'jumpsuit', 'forgiv', 'super', 'comfort', 'usual', 'medium', 'sure', 'size', 'order', 'medium', 'right', 'choic', 'great', 'light', 'materi', 'summer', 'nice', 'necklin']",5,5
"['great', 'pullov', 'cute', 'loung', 'home', 'run', 'errand', 'run', 'larg', 'order', 'xs', 'pretti', 'big', 'refer', 'lb', 'also', 'littl', 'pricey', 'loung', 'wear', 'keep', 'cute']",4,4
"['excit', 'see', 'top', 'order', 'disappoint', 'tight', 'across', 'chest', 'much', 'fabric', 'around', 'bottom', 'tri', 'time', 'hope', 'wrong', 'previou', 'assess', 'luck']",2,2
"['dress', 'beauti', 'detail', 'materi', 'better', 'expect', 'howev', 'huge', 'complet', 'swallow', 'pound', 'quit', 'bit', 'muscl', 'order', 'still', 'look', 'like', 'sack']",2,2
"['xs', 'embroideri', 'nice', 'thing', 'dress', 'everyth', 'els', 'realli', 'unflatt', 'huge', 'puffi', 'sleev', 'especi', 'anoth', 'review', 'said', 'like', 'shift', 'right', 'worth', 'price', 'sale']",1,1
"['want', 'love', 'cute', 'warm', 'absolut', 'elast', 'mad', 'read', 'review', 'end', 'wast', 'money', 'ship', 'pair', 'leg', 'ultim', 'took', 'right', 'back', 'store']",1,1
"['love', 'one', 'thing', 'made', 'buy', 'look', 'pic', 'girl', 'hand', 'pocket', 'pocket', 'make', 'bring', 'rate', 'one', 'els', 'note', 'v', 'deep', 'right', 'prepar', 'shift', 'shirt', 'lot', 'unless', 'wear', 'someth', 'realli', 'like']",3,3
"['pictur', 'make', 'look', 'like', 'rich', 'brown', 'yellow', 'orang', 'color', 'came', 'black', 'orang', 'pop', 'much', 'differ', 'expect', 'materi', 'nice', 'silki', 'will', 'keep', 'someth', 'dri', 'clean', 'sent', 'back']",3,3
"['love', 'big', 'fan', 'ag', 'stevi', 'jean', 'except', 'mid', 'rise', 'terrif', 'distress', 'cute', 'without', 'crazi', 'like', 'hole', 'knee', 'annoy', 'bend', 'leg', 'would', 'love', 'see', 'offer', 'darker', 'rins', 'also', 'crop', 'length', 'fit', 'perfect', 'fun', 'flatter', 'keep', 'stevi', 'come', 'retail']",5,5
"['sweater', 'flatter', 'sz', 'chest', 'well', 'made', 'curvi', 'girl', 'first', 'review', 'felt', 'compel', 'share', 'thought', 'sinc', 'heavili', 'reli', 'other', 'review', 'purchas']",1,1
"['previou', 'review', 'top', 'worn', 'mani', 'way', 'could', 'even', 'use', 'pretti', 'bath', 'suit', 'coverup', 'like', 'crop', 'cotton', 'spandex', 'leg', 'mani', 'solid', 'color', 'plan', 'wear', 'unbutton', 'classic', 'style', 'spandex', 'tank', 'variou', 'color', 'print', 'complet', 'look', 'say', 'feel', 'cool', 'comfi', 'warm', 'weather', 'even', 'hubbi', 'love', 'look', 'bought', 'usual', 'size', 'small']",5,5
"['top', 'run', 'full', 'size', 'larg', 'send', 'back', 'want', 'bother', 'get', 'new', 'one']",3,3
"['first', 'time', 'wore', 'tank', 'start', 'pill', 'around', 'arm', 'side', 'terribl', 'qualiti', 'get', 'wors', 'everi', 'wear', 'possibl', 'worst', 'wear', 'new', 'cloth', 'item', 'ever', 'seen', 'like', 'design', 'fit', 'immedi', 'releg', 'weekendhom', 'shirt', 'unprofession', 'pilli', 'pill', 'small', 'ca', 'shave']",1,1
"['favorit', 'shirt', 'order', 'absolut', 'could', 'wait', 'wear', 'disappoint', 'athlet', 'frame', 'small', 'tight', 'shoulder', 'much', 'extra', 'fabric', 'felt', 'lost', 'wear', 'shirt', 'wear']",3,3
"['agre', 'anoth', 'review', 'necklin', 'right', 'low', 'cut', 'normal', 'bra', 'work', 'fine', 'also', 'would', 'nice', 'dress', 'line', 'top', 'part', 'one', 'layer', 'issu', 'skirt', 'like', 'wear', 'spank', 'great', 'maxi', 'perfect', 'spring', 'summer', 'light', 'weight']",4,4
"['cute', 'comfi', 'dress', 'pound', 'xs', 'work', 'great', 'meant', 'fit', 'big', 'comfi', 'expect', 'tailor', 'dress', 'look', 'great', 'tight', 'boot', 'love', 'turn', 'around', 'make', 'cardigan']",4,5
"['cute', 'top', 'love', 'fit', 'super', 'soft', 'feel', 'kind', 'get', 'tire', 'sheer', 'shirt', 'thing', 'year', 'bought', 'summer', 'hot', 'want', 'wear', 'shirt', 'shirt', 'crazi', 'sheer', 'still', 'undecid', 'live', 'state', 'sweat', 'probabl', 'fine', 'walk', 'around', 'tri', 'differ', 'light', 'situat', 'think']",3,4
"['fabric', 'skirt', 'absolut', 'beauti', 'howev', 'fit', 'albeit', 'uniqu', 'extrem', 'flatter', 'opinion', 'may', 'somewhat', 'pearhourglass', 'shape', 'rather', 'straight', 'shape', 'fit', 'littl', 'imo', 'order', 'felt', 'fit', 'littl', 'better']",3,3
"['tri', 'store', 'disappoint', 'look', 'fresh', 'vibrant', 'hanger', 'basic', 'cut', 'models', 'peopl', 'short', 'wide', 'boob', 'make', 'back', 'pucker', 'ca', 'imagin', 'look', 'good', 'women']",2,2
"['one', 'best', 'dress', 'season', 'light', 'nice', 'color', 'eleg', 'find', 'word', 'realli', 'great', 'buy', 'brand', 'special', 'design', 'realli', 'amaz', 'recent', 'want', 'give', 'design']",5,5
