utterance,Utterance Token,RNN Sentiment,RNN Rating
I want to know if I can have several accounts,"['want', 'know', 'sever', 'account']",Neutral,5
"I haven't got an online account, can you register?","['got', 'onlin', 'account', 'regist']",Positive,5
"can you tell me if I could create two accounts with a single email, please?","['tell', 'could', 'creat', 'two', 'account', 'singl', 'email', 'pleas']",Negative,2
I need an account and I want to open one,"['need', 'account', 'want', 'open', 'one']",Negative,5
"I've got no account, can I create one?","['got', 'account', 'creat', 'one']",Neutral,1
"I've got no account,  what can I do to register?","['got', 'account', 'regist']",Positive,1
"I want a user account and I would like to open one, please","['want', 'user', 'account', 'would', 'like', 'open', 'one', 'pleas']",Negative,5
can you tell me if I can create several online accounts with a single email address?,"['tell', 'creat', 'sever', 'onlin', 'account', 'singl', 'email', 'address']",Positive,5
"i want an account, what can i do?","['want', 'account']",Neutral,3
i wanna know if i can register more than one account with a single email address,"['wan', 'na', 'know', 'regist', 'one', 'account', 'singl', 'email', 'address']",Positive,1
tell me if I can create more than one online account with a single email address,"['tell', 'creat', 'one', 'onlin', 'account', 'singl', 'email', 'address']",Positive,5
where odl i register?,"['odl', 'regist']",Positive,5
I need help opening an online account,"['need', 'help', 'open', 'onlin', 'account']",Negative,5
i want to create an account,"['want', 'creat', 'account']",Negative,3
"I don't have a user account, what can I do to open one?","['user', 'account', 'open', 'one']",Negative,1
"can you tell me if I could create two user accounts with a single email, please?","['tell', 'could', 'creat', 'two', 'user', 'account', 'singl', 'email', 'pleas']",Negative,2
I want to know if I can create several profiles with a single email address,"['want', 'know', 'creat', 'sever', 'profil', 'singl', 'email', 'address']",Neutral,1
"i havent got a user account, what should i do to register?","['havent', 'got', 'user', 'account', 'regist']",Positive,1
ask an agent where I could open a user account,"['ask', 'agent', 'could', 'open', 'user', 'account']",Positive,2
"I want an account, what do I have to do?","['want', 'account']",Neutral,3
I want to know if I can register more than one online account with a single email,"['want', 'know', 'regist', 'one', 'onlin', 'account', 'singl', 'email']",Positive,5
"I need a user account, what canI do t create one?","['need', 'user', 'account', 'cani', 'creat', 'one']",Negative,1
"I have no online account, how can I create one?","['onlin', 'account', 'creat', 'one']",Neutral,5
"i need a user account, how do i create one?","['need', 'user', 'account', 'creat', 'one']",Negative,1
can I own more than one profile?,"['one', 'profil']",Positive,5
"I want an online account, can you open one?","['want', 'onlin', 'account', 'open', 'one']",Neutral,3
"I don't have a profile, help me create one","['profil', 'help', 'creat', 'one']",Negative,5
"I haven't got an online account, can you create one?","['got', 'onlin', 'account', 'creat', 'one']",Positive,5
tell me if I can create two user accounts with a single email,"['tell', 'creat', 'two', 'user', 'account', 'singl', 'email']",Neutral,1
"I haven't got an online account, what should I do?","['got', 'onlin', 'account']",Positive,5
can you tell me if i can create several profiles with the same email address?,"['tell', 'creat', 'sever', 'profil', 'email', 'address']",Neutral,1
"i  want to know if i can register two user accounts with the same email address, please","['want', 'know', 'regist', 'two', 'user', 'account', 'email', 'address', 'pleas']",Neutral,1
"i havent got a fucking profile, help me create one","['havent', 'got', 'fuck', 'profil', 'help', 'creat', 'one']",Neutral,1
"i need an account, what can i do?","['need', 'account']",Negative,4
"I haven't got an online account, what do I have to do to create one?","['got', 'onlin', 'account', 'creat', 'one']",Positive,5
"I don't have an account, what should I do to register?","['account', 'regist']",Positive,5
"I want an account, can you create one ?","['want', 'account', 'creat', 'one']",Negative,1
"I need an online account, help me open one","['need', 'onlin', 'account', 'help', 'open', 'one']",Neutral,5
"I don't have an online account, open one","['onlin', 'account', 'open', 'one']",Neutral,3
I need an online accoung and I want to creaet one,"['need', 'onlin', 'accoung', 'want', 'creaet', 'one']",Positive,5
"I want to open an account, what do I have to do?","['want', 'open', 'account']",Neutral,3
tell me if I can register more than one profile with the same email,"['tell', 'regist', 'one', 'profil', 'email']",Positive,5
"I have no account, how do I creage one?","['account', 'creag', 'one']",Positive,5
"I haven't got an account, can I register?","['got', 'account', 'regist']",Positive,1
"I want to opem an online account, what can I do?","['want', 'opem', 'onlin', 'account']",Positive,3
"please, tell me if I could create more than one account with a single email","['pleas', 'tell', 'could', 'creat', 'one', 'account', 'singl', 'email']",Neutral,5
"I need a profile, how can I create one?","['need', 'profil', 'creat', 'one']",Negative,5
"I need a profile, what o I have to do to create one?","['need', 'profil', 'creat', 'one']",Negative,5
"I don't have an account, what can I do to create one?","['account', 'creat', 'one']",Negative,5
could you tell me if i oculd have several online accounts?,"['could', 'tell', 'oculd', 'sever', 'onlin', 'account']",Positive,5
how can I create a user account?,"['creat', 'user', 'account']",Positive,1
can you tell me if I can create more than one user account with a single email address?,"['tell', 'creat', 'one', 'user', 'account', 'singl', 'email', 'address']",Neutral,1
i havent got an online account and i want to create one,"['havent', 'got', 'onlin', 'account', 'want', 'creat', 'one']",Positive,5
I need an account,"['need', 'account']",Negative,4
I don't have a profile and I want to create one,"['profil', 'want', 'creat', 'one']",Negative,5
"i want to open an online account, what can i do?","['want', 'open', 'onlin', 'account']",Negative,5
"I wantto open a use account, what do I have to do?","['wantto', 'open', 'use', 'account']",Neutral,4
"I've got no fucking user account, can you open one?","['got', 'fuck', 'user', 'account', 'open', 'one']",Neutral,1
i want to know if i can register several accounts with the same email address,"['want', 'know', 'regist', 'sever', 'account', 'email', 'address']",Neutral,1
"I need a user account, help me create one","['need', 'user', 'account', 'help', 'creat', 'one']",Neutral,1
"i have no fucking user account, can u open one, please?","['fuck', 'user', 'account', 'u', 'open', 'one', 'pleas']",Negative,1
"please, I want to know if I an create two accounts with the same email","['pleas', 'want', 'know', 'creat', 'two', 'account', 'email']",Positive,5
"I have no profile, can you create one?","['profil', 'creat', 'one']",Negative,5
"i want to know if i can register several fucking online accounts with a single email address, please","['want', 'know', 'regist', 'sever', 'fuck', 'onlin', 'account', 'singl', 'email', 'address', 'pleas']",Neutral,5
"I haven't got a user account, how do I open one?","['got', 'user', 'account', 'open', 'one']",Neutral,1
"I do not have a fucking account, what do I have to do to register?","['fuck', 'account', 'regist']",Positive,5
"I haven't got a profile, I need help creating one","['got', 'profil', 'need', 'help', 'creat', 'one']",Negative,5
I don't have a user account and I want to create one,"['user', 'account', 'want', 'creat', 'one']",Negative,5
ive got no online account and i wanna create one,"['ive', 'got', 'onlin', 'account', 'wan', 'na', 'creat', 'one']",Positive,5
"tell me if I can create several fucking online accounts with a single email address, please","['tell', 'creat', 'sever', 'fuck', 'onlin', 'account', 'singl', 'email', 'address', 'pleas']",Positive,5
can you tell me if I can create more than one profile with the same email?,"['tell', 'creat', 'one', 'profil', 'email']",Neutral,1
can you tell me if I can register several online accounts with the same email?,"['tell', 'regist', 'sever', 'onlin', 'account', 'email']",Positive,5
"I don't have a user account, open one","['user', 'account', 'open', 'one']",Negative,1
"I need a user account, what should I do to open one?","['need', 'user', 'account', 'open', 'one']",Negative,1
"I haven't got an account, help me open one","['got', 'account', 'help', 'open', 'one']",Neutral,1
"I need an online account, help me createone","['need', 'onlin', 'account', 'help', 'createon']",Negative,5
"I have no account, what can I do to create one?","['account', 'creat', 'one']",Negative,5
ask an agent to create a profile,"['ask', 'agent', 'creat', 'profil']",Negative,5
"I've got no account, how do I register?","['got', 'account', 'regist']",Positive,1
"I've got no online account, could you open one, please?","['got', 'onlin', 'account', 'could', 'open', 'one', 'pleas']",Neutral,5
"I have no user account, what cvan I do to register?","['user', 'account', 'cvan', 'regist']",Positive,5
could you tell me if I can regitser more than one fucking account with the same email address?,"['could', 'tell', 'regits', 'one', 'fuck', 'account', 'email', 'address']",Neutral,1
"I've got no online account, open one","['got', 'onlin', 'account', 'open', 'one']",Neutral,5
can you tell me if i can register more than one account with the same email address?,"['tell', 'regist', 'one', 'account', 'email', 'address']",Negative,5
can I create several profiles with the same email address?,"['creat', 'sever', 'profil', 'email', 'address']",Negative,1
can i register two accounts with a single email?,"['regist', 'two', 'account', 'singl', 'email']",Negative,1
"I don't have a user account, how do I open one?","['user', 'account', 'open', 'one']",Negative,1
"I have no account, open one","['account', 'open', 'one']",Negative,1
"I don't have an online account, help me open one","['onlin', 'account', 'help', 'open', 'one']",Neutral,5
tell me if I can register several profiles with the same email,"['tell', 'regist', 'sever', 'profil', 'email']",Negative,1
tell me if I can rehister two profiles with the same email,"['tell', 'rehist', 'two', 'profil', 'email']",Negative,1
"i havent got a suer account, what do i haveto do?","['havent', 'got', 'suer', 'account', 'haveto']",Positive,1
can I create two accounts with the same email?,"['creat', 'two', 'account', 'email']",Negative,1
"i want to create a user account, what can i do?","['want', 'creat', 'user', 'account']",Negative,3
where to open an account,"['open', 'account']",Neutral,4
"I want to create a profile, what can I do?","['want', 'creat', 'profil']",Negative,5
"I would like to open a user account, what do I have to do?","['would', 'like', 'open', 'user', 'account']",Negative,2
where can i create an account?,"['creat', 'account']",Positive,1
how can I register?,['regist'],Positive,5
"I've got no profile, can I create one?","['got', 'profil', 'creat', 'one']",Neutral,1
i want to know if i could register several accounts with a single email address,"['want', 'know', 'could', 'regist', 'sever', 'account', 'singl', 'email', 'address']",Neutral,1
I don't have a user account and I want to open one,"['user', 'account', 'want', 'open', 'one']",Negative,5
ask an agent where i can create an account,"['ask', 'agent', 'creat', 'account']",Positive,5
"can you tell me if i could create two online accounts with the same email, please?","['tell', 'could', 'creat', 'two', 'onlin', 'account', 'email', 'pleas']",Positive,5
"I do not have an account, help me register","['account', 'help', 'regist']",Positive,4
"I've got no user account, create one","['got', 'user', 'account', 'creat', 'one']",Neutral,1
"I haev no profile, could I create one?","['haev', 'profil', 'could', 'creat', 'one']",Negative,3
tell me if I can register more than one user account with a single email,"['tell', 'regist', 'one', 'user', 'account', 'singl', 'email']",Neutral,1
can i create two online accounts with the same email?,"['creat', 'two', 'onlin', 'account', 'email']",Positive,5
"please, ask an agent where i could create a fucking profile","['pleas', 'ask', 'agent', 'could', 'creat', 'fuck', 'profil']",Positive,5
ask an agent how i can create an account,"['ask', 'agent', 'creat', 'account']",Positive,5
"I don't have a user account, how dp I register?","['user', 'account', 'dp', 'regist']",Positive,5
i want to know if i can create several profiles with the same email,"['want', 'know', 'creat', 'sever', 'profil', 'email']",Neutral,1
"I have no online account, can I open one?","['onlin', 'account', 'open', 'one']",Neutral,3
"I have no online account, register","['onlin', 'account', 'regist']",Positive,5
can I create two online accounts with the same email?,"['creat', 'two', 'onlin', 'account', 'email']",Positive,5
i need help creating an online account,"['need', 'help', 'creat', 'onlin', 'account']",Positive,5
"please , I want to know if I can create two fucking online accounts eith a single email address","['pleas', 'want', 'know', 'creat', 'two', 'fuck', 'onlin', 'account', 'eith', 'singl', 'email', 'address']",Positive,5
"ive got no user account, register","['ive', 'got', 'user', 'account', 'regist']",Positive,1
"I don't have an online account, can you help me?","['onlin', 'account', 'help']",Negative,5
"I haven't got a user account, what should I do?","['got', 'user', 'account']",Positive,1
"could you tell me if i could register several online accounts with a single email address, please?","['could', 'tell', 'could', 'regist', 'sever', 'onlin', 'account', 'singl', 'email', 'address', 'pleas']",Positive,5
i wanna knwo if i can create more than one account with the same email address,"['wan', 'na', 'knwo', 'creat', 'one', 'account', 'email', 'address']",Negative,1
"please, could you tell me if I could create more than one fucking account with the same email address?","['pleas', 'could', 'tell', 'could', 'creat', 'one', 'fuck', 'account', 'email', 'address']",Neutral,5
"I don't have an online account, I need help opening one","['onlin', 'account', 'need', 'help', 'open', 'one']",Negative,5
"I want an account, can I open one?","['want', 'account', 'open', 'one']",Neutral,1
i wanna know if i can register two accounts with the same email,"['wan', 'na', 'know', 'regist', 'two', 'account', 'email']",Negative,1
I want to know if I can register several online accounts with the same email address,"['want', 'know', 'regist', 'sever', 'onlin', 'account', 'email', 'address']",Positive,5
"I haven't got an online account, what do I have to do to register?","['got', 'onlin', 'account', 'regist']",Positive,5
"i want to create an account, what should i do?","['want', 'creat', 'account']",Negative,3
"I want a profile, what can I do?","['want', 'profil']",Neutral,3
tell me if I can create several accounts with the same email address,"['tell', 'creat', 'sever', 'account', 'email', 'address']",Neutral,1
"I'd like a fucking online account, how could I open one?","['like', 'fuck', 'onlin', 'account', 'could', 'open', 'one']",Negative,3
can you tell me if i can register more than one profile with a single email?,"['tell', 'regist', 'one', 'profil', 'singl', 'email']",Neutral,5
"i dont have a user account, what do i have to do to create one?","['dont', 'user', 'account', 'creat', 'one']",Negative,1
"I don't have a profile, what can I do to create one?","['profil', 'creat', 'one']",Negative,5
"i need an account, what do i have to do to create one?","['need', 'account', 'creat', 'one']",Negative,5
can you tell me if i could register several accounts with the same email address?,"['tell', 'could', 'regist', 'sever', 'account', 'email', 'address']",Negative,5
"I want to create an account, what can I do?","['want', 'creat', 'account']",Negative,3
"ive got no user account, could i open one?","['ive', 'got', 'user', 'account', 'could', 'open', 'one']",Neutral,3
tell me if I can register more than one account with the same email,"['tell', 'regist', 'one', 'account', 'email']",Positive,5
i wanna know if i can register two online accounts with the same email,"['wan', 'na', 'know', 'regist', 'two', 'onlin', 'account', 'email']",Positive,5
"I have no account, can you register?","['account', 'regist']",Positive,5
can I register several user accounts with a single email address?,"['regist', 'sever', 'user', 'account', 'singl', 'email', 'address']",Negative,1
"I haven't got a account, what do I have to do to create one?","['got', 'account', 'creat', 'one']",Neutral,1
I need a profile and I want tto create  one,"['need', 'profil', 'want', 'tto', 'creat', 'one']",Negative,5
"I don't have an account, register","['account', 'regist']",Positive,5
"I want a profile, how do I create one?","['want', 'profil', 'creat', 'one']",Negative,1
"I haven't got an account, what do I have to do?","['got', 'account']",Positive,1
"I would like a fucking profile, what should I do?","['would', 'like', 'fuck', 'profil']",Negative,2
"I want a user account, what should I do to open one?","['want', 'user', 'account', 'open', 'one']",Neutral,1
tell me if  can register several accounts with the same email address,"['tell', 'regist', 'sever', 'account', 'email', 'address']",Negative,1
can I create more than one profile with a single email address?,"['creat', 'one', 'profil', 'singl', 'email', 'address']",Neutral,5
"I have no user account, can I create one?","['user', 'account', 'creat', 'one']",Negative,1
"I don't have a profile, what can I do?",['profil'],Negative,5
i wanna know if i can create two profiles with a single email address,"['wan', 'na', 'know', 'creat', 'two', 'profil', 'singl', 'email', 'address']",Negative,1
tell me if I can register two online accounts with the same email address,"['tell', 'regist', 'two', 'onlin', 'account', 'email', 'address']",Positive,5
"I want an online account, what do I have to do to open one?","['want', 'onlin', 'account', 'open', 'one']",Neutral,3
"i wanna open a user account, what do i have to do?","['wan', 'na', 'open', 'user', 'account']",Neutral,4
"I've got no user account, what do I have to do to create one?","['got', 'user', 'account', 'creat', 'one']",Neutral,1
can i register more than one account with a single email address ?,"['regist', 'one', 'account', 'singl', 'email', 'address']",Positive,5
"I want a user account, I need help opening one","['want', 'user', 'account', 'need', 'help', 'open', 'one']",Negative,1
"i have no user account, can u open one, please?","['user', 'account', 'u', 'open', 'one', 'pleas']",Negative,1
"I have no profile, can you help me?","['profil', 'help']",Positive,4
"I haven't got an online account, how do I open one?","['got', 'onlin', 'account', 'open', 'one']",Neutral,5
i want a account and i wanna create one,"['want', 'account', 'wan', 'na', 'creat', 'one']",Neutral,1
i want to know if i can create more than one account with the same email,"['want', 'know', 'creat', 'one', 'account', 'email']",Negative,1
"ive got o online account, what can i do?","['ive', 'got', 'onlin', 'account']",Positive,5
"I want an account, what should I do to open one?","['want', 'account', 'open', 'one']",Neutral,1
"I don't have an account, can I create one?","['account', 'creat', 'one']",Negative,5
could you tell me if I could register more than one online account with the same email?,"['could', 'tell', 'could', 'regist', 'one', 'onlin', 'account', 'email']",Positive,5
"I've got no fucking account, what can I do to register?","['got', 'fuck', 'account', 'regist']",Positive,1
I have no online account and I want to open one,"['onlin', 'account', 'want', 'open', 'one']",Neutral,5
"please, could you tell me if I can create several fucking user accounts with the same email address?","['pleas', 'could', 'tell', 'creat', 'sever', 'fuck', 'user', 'account', 'email', 'address']",Neutral,2
I want to know if I could create two fucking user accounts with a single email address,"['want', 'know', 'could', 'creat', 'two', 'fuck', 'user', 'account', 'singl', 'email', 'address']",Neutral,1
"I haven't got an online account, I need help registering","['got', 'onlin', 'account', 'need', 'help', 'regist']",Positive,5
how to register,['regist'],Positive,5
"please, could you tell me if i could register more than one account with a single email?","['pleas', 'could', 'tell', 'could', 'regist', 'one', 'account', 'singl', 'email']",Negative,5
I don't hace an account and I want to register,"['hace', 'account', 'want', 'regist']",Neutral,5
tell me if I can create more than one online account with the same email address,"['tell', 'creat', 'one', 'onlin', 'account', 'email', 'address']",Positive,5
tell me if I can register two user accounts with a single email address,"['tell', 'regist', 'two', 'user', 'account', 'singl', 'email', 'address']",Neutral,1
"i wanna know if i could create several online accounts with the same email address, please","['wan', 'na', 'know', 'could', 'creat', 'sever', 'onlin', 'account', 'email', 'address', 'pleas']",Positive,5
"I need an account, how can I create one?","['need', 'account', 'creat', 'one']",Negative,5
can I register two online accounts with the same email?,"['regist', 'two', 'onlin', 'account', 'email']",Positive,5
I want to know if I can create several online accounts with a single email address,"['want', 'know', 'creat', 'sever', 'onlin', 'account', 'singl', 'email', 'address']",Positive,1
"I've got no user account, how can I open one?","['got', 'user', 'account', 'open', 'one']",Neutral,1
"I need a profile, what should I do to create one?","['need', 'profil', 'creat', 'one']",Negative,5
"I want an online account, how can I create one?","['want', 'onlin', 'account', 'creat', 'one']",Neutral,5
ask an agent to open a user account,"['ask', 'agent', 'open', 'user', 'account']",Neutral,5
I want to know if I can register two user accounts with the same email address,"['want', 'know', 'regist', 'two', 'user', 'account', 'email', 'address']",Neutral,1
I want to know if I can create two user accounts with the same email address,"['want', 'know', 'creat', 'two', 'user', 'account', 'email', 'address']",Neutral,1
can I register more than one user account with the same email?,"['regist', 'one', 'user', 'account', 'email']",Positive,5
"i need an online account, what do i have to do to open one?","['need', 'onlin', 'account', 'open', 'one']",Neutral,3
I have no user account,"['user', 'account']",Positive,5
I've got no online account and I want to open one,"['got', 'onlin', 'account', 'want', 'open', 'one']",Neutral,5
I want a profile,"['want', 'profil']",Neutral,3
"I have no online account, what van I do?","['onlin', 'account', 'van']",Positive,5
"I've got no user account, can you register?","['got', 'user', 'account', 'regist']",Positive,1
can I create two accounts with a single email address?,"['creat', 'two', 'account', 'singl', 'email', 'address']",Negative,1
"I have no user account, what do I have to do?","['user', 'account']",Positive,5
"I've got no account, what can I do to open one?","['got', 'account', 'open', 'one']",Neutral,1
"I haven't got an account, what can I do?","['got', 'account']",Positive,1
"I need a user account, help me open one","['need', 'user', 'account', 'help', 'open', 'one']",Negative,1
"I have no fucking account, how do I create one?","['fuck', 'account', 'creat', 'one']",Negative,5
I want to know if I can register several accounts with a single email address,"['want', 'know', 'regist', 'sever', 'account', 'singl', 'email', 'address']",Neutral,1
can i create two user accounts with the same email address?,"['creat', 'two', 'user', 'account', 'email', 'address']",Negative,1
"I have no user account, how do I create one?","['user', 'account', 'creat', 'one']",Negative,1
can I own several profiles?,"['sever', 'profil']",Positive,5
"i wannaopen an account, what can i do?","['wannaopen', 'account']",Positive,5
"I want to create a online accountg, can you help me?","['want', 'creat', 'onlin', 'accountg', 'help']",Negative,5
I want to know  if I can create two user accounts with the same email,"['want', 'know', 'creat', 'two', 'user', 'account', 'email']",Negative,1
"I've got no online account, what can I do to create one?","['got', 'onlin', 'account', 'creat', 'one']",Positive,5
"please, could u ask an agent where i can register?","['pleas', 'could', 'u', 'ask', 'agent', 'regist']",Positive,5
